"iso","umd_tree_cover_extent_2000__ha","area__ha"
"AGO",114.25466814657999642,646.05789406453030241
"ALA",55735.18843193000761050,60224.46861729762942239
"ALB",56554.524476650075681847,81284.437597113782753985
"AND",792.287499967237872549,915.522590319461430830
"ARG",713716.138945995795135535,1474331.769620215418474686
"ARM",1510.89564662612968280,11805.439223127406175425
"AUS",1164063.163804287319812370,2047375.805963565311665994
"AUT",1323739.943279657501151486,1404776.524574842189674226
"AZE",21680.44865605299147919,63072.209566806567282700
"BDI",16281.00913698182030477,22140.02958114577143300
"BEL",406360.687989089504449925,521417.50287291136851645
"BEN",30589.79426508331032855,801312.05570712539344245
"BFA",0.0,13063.41996971556085771
"BGD",314.54012943204761890,4141.73354016910251386
"BGR",640730.566913193810119971,711721.357713731996252053
"BIH",336574.062389886486635492,366911.738301776377256102
"BLR",3515319.564225484331707724,3881037.596430270974946042
"BLZ",24413.73136795633220315,31779.96607725068737847
"BOL",7978.94751740455295410,12535.82249889437592417
"BRA",4920169.16734534275670704,10132983.24553652317054384
"BRN",1425.84403024735745467,1545.21184013909829013
"BTN",2042.36722623190527608,6587.73916115618559251
"CAF",3811.60476623673105991,4730.65467317386336095
"CAN",3450902.709261300003812405,4104365.192962325958135140
"CHE",233971.501330251397565325,269791.824059202600814154
"CHL",1878403.667388665169191627,3350911.349336915544152015
"CHN",49016345.85187238983235657,81737555.732850825441405245
"CIV",916162.28261324697592824,1786659.07466100612734843
"CMR",521148.48543376074364664,576283.31161601819295342
"COD",452716.40980894625894554,479045.53386466772508244
"COG",1795.06899431521376883,1897.29498941315607308
"COL",394049.53763106350011181,808904.32090848775558492
"CPV",520.7349008897085807,48525.14865699165675
"CRI",138189.83783088614233496,167280.49456933939426042
"CUB",27628.43920265341684639,86387.88916825824215038
"CYP",14739.92767726559616581,23051.66998824288517568
"CZE",1523346.63851114679438846,1654836.301163985252727316
"DEU",6969266.438141490512239609,7905301.477584071375374455
"DNK",375165.94384713344520620,557310.24092911960522750
"DOM",5017.31274584580864325,6624.56131812650360576
"DZA",47742.253669246215035789,268146.950305162537160455
"ECU",282189.10576951935772350,388723.73522601106115613
"EGY",884.80500303044398268,50222.26705348337972606
"ERI",0.0,399.36399913307855203
"ESP",2075352.431973983574436701,4851553.216925626092052560
"EST",411723.131284525710902005,439077.12595241820327353
"ETH",11804.55593646515936903,63014.66293936864413931
"FIN",5450327.848096651658608877,5962757.037255524395783861
"FJI",705.72680675184992425,730.02768440971245312
"FRA",4719661.22868527421723824,5789294.29495307392792379
"FRO",0.0,80.18046265789705464
"GAB",22621.91458267646978342,24673.68222749654972306
"GBR",1457319.747836148912773593,2031181.580174914215162474
"GEO",1063.2720218633477283,1326.38938199219645081
"GGY",1051.39592174170932750,3309.83367037453501757
"GHA",70144.47341284383225806,86886.76572607116872617
"GIN",21647.35067276580085068,26144.72858320242529637
"GLP",38.52714996615449022,47.91409976119029622
"GMB",408.45259010171611380,3018.04814498529215252
"GNB",1302.65665562302228460,3180.02075173442318071
"GNQ",302.62306835422263018,303.39208374741836325
"GRC",1034154.453969854265297608,1269090.58411574806822710
"GTM",148320.18142876711537886,222364.79626400249895599
"GUF",434.17730776522173445,601.10570306202102575
"HND",351999.27572993512056514,435491.93206984714644143
"HRV",211138.53855920826446244,304496.619081407670221564
"HTI",3900.68239367557393945,4136.22449053678284493
"HUN",386242.721849274700090364,576572.737300100423788715
"IDN",23532173.88400447313327753,28925895.99880111968718985
"IMN",7639.30710804097172133,10962.69016827224592564
"IND",3497004.79661664213045267,11153229.56879526981440792
"IRL",301497.954314369824761984,630900.949825836930981284
"IRN",8772.602736080766805138,195795.720482048606566677
"IRQ",230.28202594928067219,39744.982534925705153624
"ISR",1896.45919753232480141,17075.60389229867116657
"ITA",479663.587795028055578906,776647.779506892863950762
"JAM",384.77338836553435910,425.47583189885794297
"JEY",588.07344549567335242,1414.64581042199788325
"JOR",0.0,29497.47279419895184693
"JPN",9183247.351155783995032024,10189500.865415647799031704
"KAZ",668515.497905003050067198,1971962.573595163370433906
"KEN",143515.86039592573304772,197339.80891825975376813
"KGZ",3649.86256242828020327,11400.89968633714549806
"KHM",840123.41605667076586887,1257590.06552939309001283
"KOR",891957.909398222077130675,1145515.484111658395407966
"LAO",485787.92403790286149780,713576.08378739598499179
