"iso","umd_tree_cover_gain__ha"
"ABW",19.23963739470540315
"AFG",10738.734393931309118674
"AGO",1224131.82689597704002529
"AIA",69.66189627864799674
"ALA",2582.869602545495208708
"ALB",16468.972163017035992961
"AND",120.025290859034287271
"ARE",595.95297282758804084
"ARG",1107406.777138110036578007
"ARM",12255.993174049587234330
"ATG",361.62967074152664218
"AUS",1600598.210828978476770570
"AUT",36347.682801356353978162
"AZE",30269.880943660067104380
"BDI",16374.02420504058306971
"BEL",41686.841214035671286525
"BEN",181244.25288779584583460
"BES",270.18286859865450363
"BFA",142623.04822484223738100
"BGD",317862.24096466298949079
"BGR",106351.375696214300935017
"BHR",62.18311761365662741
"BHS",6316.42972839423013313
"BIH",53275.319511505977892036
"BLM",2.56538798209960939
"BLR",963614.183251155119090782
"BLZ",18728.94339292644734527
"BOL",617240.08533656331278974
"BRA",8066542.34094357904150969
"BRB",376.61993367902713462
"BRN",7531.24438740930763308
"BTN",28219.96191195441235534
"BWA",13303.41117042061577018
"CAF",482448.79102401139596212
"CAN",16965172.089265761035011421
"CHE",15070.741915444521213454
"CHL",730021.839369793341662023
"CHN",6691014.464627220650425239
"CIV",881453.47280955034331748
"CMR",351062.73643086352210809
"COD",1592148.03336043203537147
"COG",113140.22807612873989792
"COL",1085393.70355029388887284
"COM",81.77428284127929393
"CRI",57760.69694116084364380
"CUB",164351.02499098419823853
"CUW",175.91891166003793091
"CYM",496.93336332073405866
"CYP",3222.25423426056272275
"CZE",77297.811734242057631121
"DEU",342750.263222667960708975
"DJI",1.50575986784722230
"DMA",79.94926556201118000
"DNK",95181.26445331251095831
"DOM",54803.47540075559798759
"DZA",89145.649955797107956145
"ECU",218738.25095548280420573
"EGY",4206.14317207634766503
"ERI",10676.27749253307742611
"ESH",0.84684657029730909
"ESP",381024.210521379871233895
"EST",165130.796196945586575085
"ETH",403581.41389561390200629
"FIN",1357022.355967294875026680
"FJI",5409.56818897087035751
"FRA",695647.56752224360743248
"GAB",50031.07070191967205989
"GBR",473170.835416666013716454
"GEO",93536.984890410871686034
"GGY",157.71546847121094837
"GHA",312662.24557876557628779
"GIB",1.12357783167534737
"GIN",272656.79603773251651793
"GLP",1509.21540676873993482
"GMB",15326.29223633932975516
"GNB",43268.69113669668169654
"GNQ",5167.92793499808680253
"GRC",71539.534265738701069434
"GRD",85.03143324627713753
"GTM",291023.11207815747531646
"GUF",10102.61297458694201679
"GUY",30501.70284771580506847
"HND",137964.82247821102620498
"HRV",59572.642500690249087495
"HTI",13832.43045707080389710
"HUN",207304.833826623183608236
"IDN",4882130.17916737213359889
"IMN",1999.57403930901095676
"IND",1781313.05166152388308621
"IRL",284208.724160897925672975
"IRN",49762.471806575042438447
"IRQ",9456.910039532381580344
"ISR",5317.55511112308051954
"ITA",189375.769583418070469194
"JAM",5832.93846082223656562
"JEY",220.80800649997830358
"JOR",871.67344393303912422
"JPN",221004.412404035399449545
"KAZ",71223.572197710561838789
"KEN",117011.76599999399383627
"KGZ",67690.66488239929644306
"KHM",147442.26800603974158074
"KNA",426.33041199888021045
"KOR",109298.392198870498322862
"KWT",51.43570785744247420
"LAO",101741.13152075370314809
"LBN",6369.46844971626285396
"LBR",57761.97262162188236410
"LBY",1498.71012616871963492
"LCA",143.49987878137315996
"LIE",53.827938592087675099
"LKA",60078.81197755285619588
"LSO",2973.02457151953852169
"LTU",241547.520493950311284545
"LUX",2851.124618791838663680
"LVA",290488.911499163909818874
"MAF",24.23801598833116372
"MAR",81646.29590279730077947
"MCO",0.67135586690104171
"MDA",36544.945540364886197335
"MDG",173321.82984512482510999
"MDV",31.49006502178276976
"MEX",1422800.02283120965943348
"MKD",12569.88958992228766393
"MLI",203580.51813003930915789
"MLT",11.26710014282118047
"MMR",636627.41492913165504328
"MNE",9784.619613267492903679
"MNG",78600.716600849599288371
"MOZ",583232.05205940040086479
"MRT",711.49032189083725757
"MSR",249.90124572799270809
"MTQ",678.09978795636666461
"MWI",41701.02447322310873038
"MYS",1007197.39974099439067741
"MYT",249.09055181689289303
"NAM",15192.19606537811779033
"NCL",1854.83417423242043203
"NER",5781.69425133670580346
"NGA",927799.18969705579100462
"NIC",142392.21976736076565881
"NLD",60820.682976549824453434
"NOR",476082.864799765832951585
"NPL",174007.17176293516448521
"NZL",434876.241708777287641066
"OMN",1548.26885274104082268
"PAK",116694.54127464761110517
"PAN",84310.42495068670263270
"PER",429704.32544246533441942
"PHL",172159.79413851401477143
"PLW",135.28405934021322563
"PNG",266144.67845788575886182
"POL",892070.737594841890479764
"PRI",7140.59954524880919567
"PRK",288448.246920900360910659
"PRT",168606.741965057260171832
"PRY",642419.75619021104065217
"PSE",1697.12868418470986986
