"iso","umd_tree_cover_loss__year","umd_tree_cover_loss__ha","gfw_gross_emissions_co2e_all_gases__Mg"
"AFG",2001,88.09271247269962832,27986.284115403827840
"AGO",2001,101218.50455395613805118,39294739.8011720924856366
"AIA",2001,3.87846070809678815,869.18025054106545
"ALA",2001,396.973630529133833693,76145.0684844281582882
"ALB",2001,3728.669851045810092210,1417747.08029186351454887
"AND",2001,1.6542129477061633,660.5152409276892
"ARG",2001,147801.679656721057681698,32550580.948194669504816
"ARM",2001,131.840612264474837735,41307.411600350947046
"ATG",2001,24.07418943832681671,7815.014219267019289
"AUS",2001,218813.577584283416531923,29028528.77274031583841262
"AUT",2001,6938.994706640184099552,2818397.500354192473927
"AZE",2001,553.299356121381960843,165141.1577119775972919
"BDI",2001,1417.24695708633774450,506023.088943659404917
"BEL",2001,971.488195276284792076,424997.924683074693051
"BEN",2001,3748.18907676814692623,1167876.587975117562297
"BES",2001,3.03185725290093362,319.998964273059892
"BFA",2001,58.87265978878417854,286271.440820771022239
"BGD",2001,4587.27991190893883304,2569187.13385402285797016
"BGR",2001,8202.263664499615022045,2110234.01327970426975092
"BHS",2001,432.99941970350651353,88088.79927159950121336
"BIH",2001,1496.051935720911575746,501472.198065448007114
"BLR",2001,18358.917114100801733743,5007433.8953444787684270
"BLZ",2001,8238.35983276666231038,3485151.534195058668026
"BMU",2001,0.1958197936338976,89.87626818596836
"BOL",2001,140210.22188202136366087,63768187.63504302285010326
"BRA",2001,2746284.63835414342614593,1221138975.06239009297554567
"BRB",2001,12.36746156416883728,3763.4910074376835456
"BRN",2001,1244.45382286781179002,823190.2819933956452018
"BTN",2001,297.59088423505538495,170406.055592428121458
"BWA",2001,130.98388147723631878,26251.2376786675372154
"CAF",2001,31282.51371666453338163,15031912.466047900302641
"CAN",2001,1358153.550795875860514165,418315291.28127681169758545
"CHE",2001,1164.740312393400703158,545664.252171056447068
"CHL",2001,72711.244483407178535457,21253941.7604806167919123
"CHN",2001,230308.120576525445135606,89847224.58529096394022609
"CIV",2001,122694.83622771551407703,48808595.866608161049990
"CMR",2001,39203.71676148147235518,20479543.501085047202912
"COD",2001,455531.83548280033491006,270759203.1309348921211172
"COG",2001,27030.84964334349947498,14727544.218675704449034
"COL",2001,229960.99067727579468405,118186872.332472935855966
"COM",2001,36.97369320812445817,19283.27808947535829
"CPV",2001,14.27290158865885464,0.0
"CRI",2001,15483.27237924707112776,7410096.922518370825704
"CUB",2001,18942.90877802538635099,5898424.48421065695913454
"CUW",2001,0.90278852551215289,185.463562241005011
"CYM",2001,20.68161219993164097,4468.027273214112210
"CYP",2001,78.62890207442060189,13247.7703267905898128
"CZE",2001,3451.145834548678322312,1315384.857201389722492
"DEU",2001,15286.527525617976609008,6229839.688458422600862
"DMA",2001,22.79275551081271850,13209.731700213025563
"DNK",2001,4329.295853187874376765,1063653.435146998903582
"DOM",2001,11247.53863011736035648,4371497.707637404355568
"DZA",2001,3468.200756658119119546,574332.0035140084861063
"ECU",2001,45079.70282993932637884,26015231.226167743291656
"EGY",2001,147.76494268109265739,45260.975569668976572
"ERI",2001,2.52952433260253888,1234.126101976315222
"ESP",2001,32811.053519209315260775,9700001.5203171351752489
"EST",2001,16872.515160612039307751,3754501.8502225307367335
"ETH",2001,11947.24724356116751572,5528209.439310354219796
"FIN",2001,151003.372858062379920826,28289648.4023648028769479
"FJI",2001,1097.76405439653135811,538322.267588611532795
"FRA",2001,34420.963394336205260467,13050980.34531165677045414
"GAB",2001,15082.63772959298292254,8854535.192760966316548
"GBR",2001,23247.500492252541936741,9039262.105981393687233
"GEO",2001,666.556366612170160535,252162.9407165718115934
"GGY",2001,1.9153560712934030,485.65507860292539
"GHA",2001,43675.47233939380074069,17958339.1829409498982897
"GIB",2001,0.3745712739366319,90.40245851420244
"GIN",2001,18571.44958359501692988,7425136.5843113132335697
"GLP",2001,320.70238556614373771,127433.362546444226412
"GMB",2001,3.29742186304958778,3328.595366282333503
