"iso","umd_tree_cover_loss__year","umd_tree_cover_loss__ha","umd_tree_cover_loss_from_fires__ha"
"AFG",2001,88.09271247269962832,12.24929370662000827
"AGO",2001,101218.50455395613805118,888.69456111275506409
"AIA",2001,3.87846070809678815,0.0
"ALA",2001,396.973630529133833693,8.12986098524739576
"ALB",2001,3728.669851045810092210,754.317745507601944745
"AND",2001,1.6542129477061633,0.28537301158203126
"ARG",2001,147801.679656721057681698,7970.386879635331892378
"ARM",2001,131.840612264474837735,28.985651241920574375
"ATG",2001,24.07418943832681671,0.36816398741536462
"AUS",2001,218813.577584283416531923,154494.355421572989822139
"AUT",2001,6938.994706640184099552,64.065130437118065424
"AZE",2001,553.299356121381960843,102.66725252357424823
"BDI",2001,1417.24695708633774450,0.61443509764689135
"BEL",2001,971.488195276284792076,10.199185545273437672
"BEN",2001,3748.18907676814692623,8.46116935786675448
"BES",2001,3.03185725290093362,0.0
"BFA",2001,58.87265978878417854,0.0
"BGD",2001,4587.27991190893883304,119.07781036326390770
"BGR",2001,8202.263664499615022045,2588.538490940099815405
"BHS",2001,432.99941970350651353,71.08703236286785104
"BIH",2001,1496.051935720911575746,620.740558211735019082
"BLR",2001,18358.917114100801733743,339.696963219698373389
"BLZ",2001,8238.35983276666231038,1290.80794406779995513
"BMU",2001,0.1958197936338976,0.0
"BOL",2001,140210.22188202136366087,11429.52503126311142063
"BRA",2001,2746284.63835414342614593,127406.37807768559814109
"BRB",2001,12.36746156416883728,0.5246351140245227
"BRN",2001,1244.45382286781179002,53.21603476361084422
"BTN",2001,297.59088423505538495,28.09743365198459351
"BWA",2001,130.98388147723631878,3.55340823797743014
"CAF",2001,31282.51371666453338163,303.11057365205148019
"CAN",2001,1358153.550795875860514165,520947.757251649535402654
"CHE",2001,1164.740312393400703158,12.90191191246310935
"CHL",2001,72711.244483407178535457,3150.886162748414710069
"CHN",2001,230308.120576525445135606,31948.774318042382646959
"CIV",2001,122694.83622771551407703,608.59419624566862933
"CMR",2001,39203.71676148147235518,135.02088775454604019
"COD",2001,455531.83548280033491006,7540.41564678384256956
"COG",2001,27030.84964334349947498,680.60419455393323883
"COL",2001,229960.99067727579468405,9999.01279740653469778
"COM",2001,36.97369320812445817,0.22594794528591580
"CPV",2001,14.27290158865885464,2.5288994625802950
"CRI",2001,15483.27237924707112776,487.39049197766544858
"CUB",2001,18942.90877802538635099,989.84413784921050974
"CUW",2001,0.90278852551215289,0.07522503909342448
"CYM",2001,20.68161219993164097,0.36298459668945312
"CYP",2001,78.62890207442060189,41.24433561476565201
"CZE",2001,3451.145834548678322312,75.60860819800782726
"DEU",2001,15286.527525617976609008,165.557354523051230220
"DMA",2001,22.79275551081271850,0.37100238926649306
